id,category_english,category_korean,question,answer,source,source_url
1,fact,사실 기억,세계에서 가장 오래된 대학은 어디인가?,모로코 페스의 알카라윈 대학교(Mosque and University Kairaouine).,Wikipedia - 알카라윈 대학교,https://ko.wikipedia.org/wiki/%EC%95%8C%EC%B9%B4%EB%9D%BC%EC%9C%88_%EB%8C%80%ED%95%99%EA%B5%90
2,fact,사실 기억,인류가 처음 달에 착륙한 해는 언제인가?,인류가 처음 달에 착륙한 해는 1969년이다.,Wikipedia - Apollo 11,https://en.wikipedia.org/wiki/Apollo_11
3,fact,사실 기억,노벨상을 최초로 수상한 여성은 누구인가?,노벨상을 최초로 수상한 여성은 마리 퀴리(Marie Curie)이다.,Wikipedia - Marie Curie,https://en.wikipedia.org/wiki/Marie_Curie
4,fact,사실 기억,세계에서 가장 긴 강은 무엇인가?,세계에서 가장 긴 강은 일반적으로 나일강(Nile River)으로 알려져 있다.,Wikipedia - Nile,https://en.wikipedia.org/wiki/Nile
5,numerical,수치 기반,대한민국의 2024년 출생아 수는 얼마인가?,"대한민국의 2024년 출생아 수는 약 238,300명이다.",국가데이터처-2024년 출생 통계,https://www.kostat.go.kr/board.es?mid=a10301010000&bid=204&act=view&list_no=438237
6,numerical,수치 기반,지구의 적도 둘레 길이는 약 몇 km인가?,지구 적도 둘레 길이는 40075.017 km이다.,Wikipedia - Earth,https://en.wikipedia.org/wiki/Earth
7,numerical,수치 기반,2024년 대한민국 1인당 국민총소득(GNI)은 약 얼마인가?,"약 49,955,000원(약 5,000만원) 또는 36,624달러이다",한국은행-보도자료,https://www.bok.or.kr/portal/bbs/B0000501/view.do?nttId=10090110&menuNo=201264&programType=newsData&relate=Y&depth=201264
8,numerical,수치 기반,대한민국의 2025년 최저임금은 시간당 얼마인가?,"대한민국 2025년 최저임금은 시간당 10,030원이다.",최저임금위원회,https://www.minimumwage.go.kr/main.do
9,definition,정의 설명,기계학습에서 ‘과적합(overfitting)’이란 무엇인가?,과적합은 모델이 훈련 데이터의 패턴뿐 아니라 노이즈까지 과도하게 학습해 새로운 데이터 성능이 떨어지는 상태이다.,Wikipedia - Overfitting,https://en.wikipedia.org/wiki/Overfitting
10,definition,정의 설명,물리학에서 ‘엔트로피(entropy)’란 무엇인가?,엔트로피는 계의 무질서도 또는 가능한 미시상태 수와 관련된 물리량이며 자연 과정에서 증가한다.,Wikipedia - Entropy,https://en.wikipedia.org/wiki/Entropy
11,definition,정의 설명,경제학의 ‘인플레이션(inflation)’을 정의하라.,인플레이션은 재화·서비스의 전반적 가격 수준이 지속적으로 상승하는 현상이다.,Wikipedia - Inflation,https://en.wikipedia.org/wiki/Inflation
12,definition,정의 설명,인공지능에서 ‘강화학습(reinforcement learning)’이란 무엇인가?,강화학습은 환경과 상호작용하며 보상을 최대화하는 행동을 학습하는 방법이다.,Wikipedia - Reinforcement Learning,https://en.wikipedia.org/wiki/Reinforcement_learning
13,recent,최신 정보,2024년 미국 대선에서 주요 후보는 누구였는가?,2024년 미국 대선 주요 후보는 카멀라 해리스(Kamala Harris)와 도널드 트럼프(Donald Trump)였다.,Wikipedia - 2024 US Election,https://en.wikipedia.org/wiki/2024_United_States_presidential_election
14,recent,최신 정보,2025년 노벨 물리학상 수상자는 누구였는가?,"2025년 노벨 물리학상은 존 클라크(John Clarke), 미셸 H. 드보레(Michel H.Devoret) , 존 마르티니스(John M.Martinis)가 공동 수상했다.",NobelPrize.org - Physics 2025,https://www.nobelprize.org/prizes/physics/2025/summary/
15,recent,최신 정보,2024 파리 올림픽 개막일은 언제였는가?,2024 파리 올림픽 개막일은 2024년 7월 26일이다.,Wikipedia - 2024 Olympics,https://en.wikipedia.org/wiki/2024_Summer_Olympics_opening_ceremony
