id,model,responses
1,GPT,세계에서 가장 오래된 대학은 알 카라위인 대학교이다.
2,GPT,인류가 처음 달에 착륙한 해는 1969년이다.
3,GPT,노벨상을 최초로 수상한 여성은 마리 퀴리이다.
4,GPT,세계에서 가장 긴 강은 나일강이다.
5,GPT,대한민국의 2024년 출생아 수는 약 23만 8천 3백 명이다.
6,GPT,지구의 적도 둘레 길이는 약 4만 7천 5백 km이다.
7,GPT,"2024년 대한민국의 1인당 국민총소득(GNI)은 약 36,624 달러이다."
8,GPT,"대한민국의 2025년 최저임금은 시간당 10,030원이다."
9,GPT,과적합은 모델이 학습 데이터에 지나치게 맞춰져 일반화 성능이 떨어지는 현상이다.
10,GPT,엔트로피는 시스템의 무질서도나 불확실성의 정도를 나타내는 물리량이다.
11,GPT,인플레이션은 상품과 서비스의 전반적인 가격 수준이 지속적으로 상승하는 현상이다.
12,GPT,강화학습은 에이전트가 환경과 상호작용하며 보상을 최대화하도록 학습하는 기계학습 방법이다.
13,GPT,2024년 미국 대선에서 주요 후보는 조 바이든과 도널드 트럼프이다.
14,GPT,"2025년 노벨 물리학상 수상자는 존 클라크(John Clarke), 미셸 H. 데보레(Michel H. Devoret), 존 M. 마티니스(John M. Martinis)이다."
15,GPT,2024 파리 올림픽 개막일은 7월 26일이다.
16,GPT,케이팝 데몬 헌터스 영화의 감독은 매기 강과 크리스 아펠한스이다.
17,GPT,"월급은 10,030 × 6 × 5 × 4 = 1,20,360원이다. 공제액 3.3% = 1,20,360 × 0.033 ≈ 3,972원 실수령액 = 1,20,360 − 3,972 ≈ 1,16,388원 월급은 1,20,360원이고, 3.3% 공제 후 실수령액은 1,16,388원이다."
18,GPT,가게가 3km 떨어져 있을 때 더 저렴한 앱은 A앱이다.
19,GPT,총 15잔을 구매할 때 더 이득인 쪽은 카페 B이다.
20,GPT,"연간 시청 편수는 5 × 12 = 60편이며, 1편당 비용은 17,000 × 12 ÷ 60 ≈ 3,400원이다."
