[모델별 평균 점수],,,,,,,,,
model,score,,,,,,,,
Claude,0.75,,,,,,,,
GPT,0.8125,,,,,,,,
Gemini,0.796875,,,,,,,,
,,,,,,,,,
,,,,,,,,,
[모델별 Hallucination 유형 분포],,,,,,,,,
,,hallucination_type,,,,,,,
,,Factual Error / Hallucination,Partial / Imprecise,,,,,,
model,Claude,6,4,,,,,,
,GPT,4,4,,,,,,
,Gemini,5,3,,,,,,
,,,,,,,,,
,,,,,,,,,
[난이도별 모델 성능 비교],,,,,,,,,
,,difficulty,,,,,,,
,,Claude,GPT,Gemini,,,,,
model,easy,0.791667,0.875,0.875,,,,,
,hard,1,0.5,1,,,,,
,medium,0.694444,0.805556,0.722222,,,,,
,,,,,,,,,
,,,,,,,,,
[Skill Tag별 모델 성능 히트맵 데이터],,,,,,,,,
,,skill_tag,,,,,,,
,,COMPARATIVE_REASONING,CONCEPT_DEFINITION,MISCONCEPTION_JUDGEMENT,NUMERIC_FACT,NUMERIC_REASONING_MULTI,RECENT_FACT,SIMPLE_FACT,image_reasoning
model,Claude,0.25,0.9,0.5,1,1,1,0.75,0.625
,GPT,0.625,0.9,0.625,1,0.5,1,0.75,1
,Gemini,0.5,0.8,0.75,1,0.833333,1,0.75,0.75
